,Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
0,1,30/01/20,6:00 PM,Kerala,1,0,0,0,1
1,2,31/01/20,6:00 PM,Kerala,1,0,0,0,1
2,3,01/02/20,6:00 PM,Kerala,2,0,0,0,2
3,4,02/02/20,6:00 PM,Kerala,3,0,0,0,3
4,5,03/02/20,6:00 PM,Kerala,3,0,0,0,3
5,6,04/02/20,6:00 PM,Kerala,3,0,0,0,3
6,7,05/02/20,6:00 PM,Kerala,3,0,0,0,3
7,8,06/02/20,6:00 PM,Kerala,3,0,0,0,3
8,9,07/02/20,6:00 PM,Kerala,3,0,0,0,3
9,10,08/02/20,6:00 PM,Kerala,3,0,0,0,3
10,11,09/02/20,6:00 PM,Kerala,3,0,0,0,3
11,12,10/02/20,6:00 PM,Kerala,3,0,0,0,3
12,13,11/02/20,6:00 PM,Kerala,3,0,0,0,3
13,14,12/02/20,6:00 PM,Kerala,3,0,0,0,3
14,15,13/02/20,6:00 PM,Kerala,3,0,0,0,3
15,16,14/02/20,6:00 PM,Kerala,3,0,0,0,3
16,17,15/02/20,6:00 PM,Kerala,3,0,0,0,3
17,18,16/02/20,6:00 PM,Kerala,3,0,0,0,3
18,19,17/02/20,6:00 PM,Kerala,3,0,0,0,3
19,20,18/02/20,6:00 PM,Kerala,3,0,0,0,3
20,21,19/02/20,6:00 PM,Kerala,3,0,0,0,3
21,22,20/02/20,6:00 PM,Kerala,3,0,0,0,3
22,23,21/02/20,6:00 PM,Kerala,3,0,0,0,3
23,24,22/02/20,6:00 PM,Kerala,3,0,0,0,3
24,25,23/02/20,6:00 PM,Kerala,3,0,0,0,3
25,26,24/02/20,6:00 PM,Kerala,3,0,0,0,3
26,27,25/02/20,6:00 PM,Kerala,3,0,0,0,3
27,28,26/02/20,6:00 PM,Kerala,3,0,0,0,3
28,29,27/02/20,6:00 PM,Kerala,3,0,0,0,3
29,30,28/02/20,6:00 PM,Kerala,3,0,0,0,3
30,31,29/02/20,6:00 PM,Kerala,3,0,0,0,3
31,32,01/03/20,6:00 PM,Kerala,3,0,0,0,3
32,33,02/03/20,6:00 PM,Telengana,1,0,0,0,1
33,34,02/03/20,6:00 PM,Kerala,3,0,0,0,3
34,35,02/03/20,6:00 PM,Delhi,1,0,0,0,1
35,36,03/03/20,6:00 PM,Telengana,1,0,0,0,1
36,37,03/03/20,6:00 PM,Rajasthan,0,1,0,0,1
37,38,03/03/20,6:00 PM,Kerala,3,0,3,0,3
38,39,03/03/20,6:00 PM,Delhi,1,0,0,0,1
39,40,04/03/20,6:00 PM,Uttar Pradesh,6,0,0,0,6
40,41,04/03/20,6:00 PM,Kerala,3,0,3,0,3
41,42,04/03/20,6:00 PM,Haryana,0,2,0,0,2
42,43,04/03/20,6:00 PM,Delhi,1,0,0,0,1
43,44,04/03/20,6:00 PM,Telengana,1,0,0,0,1
44,45,04/03/20,6:00 PM,Rajasthan,1,14,0,0,15
45,46,05/03/20,6:00 PM,Delhi,2,0,0,0,2
46,47,05/03/20,6:00 PM,Haryana,0,2,0,0,2
47,48,05/03/20,6:00 PM,Kerala,3,0,3,0,3
48,49,05/03/20,6:00 PM,Rajasthan,1,14,0,0,15
49,50,05/03/20,6:00 PM,Telengana,1,0,0,0,1
50,51,05/03/20,6:00 PM,Uttar Pradesh,7,0,0,0,7
51,52,06/03/20,6:00 PM,Delhi,3,0,0,0,3
52,53,06/03/20,6:00 PM,Haryana,0,2,0,0,2
53,54,06/03/20,6:00 PM,Kerala,3,0,3,0,3
54,55,06/03/20,6:00 PM,Rajasthan,1,14,0,0,15
55,56,06/03/20,6:00 PM,Uttar Pradesh,7,0,0,0,7
56,57,06/03/20,6:00 PM,Telengana,1,0,0,0,1
